Rank,Name,Country,Sector,Absolute Growth Rate (%),Compound Annual Growth Rate (%),Revenue 2022 (€),Revenue 2019 (€),Number of employees 2022,Number of employees 2019,Founding Year,Country Code,Total Revenue 2022 (€),Population 2022,GDP 2022 (€)
1,Raylyst Solar,Czech Republic,Wholesale,78890.5,824.4,111274906.0,134204.0,14,1,2018,CZE,491614260.0,10672118,272172848884.7023
2,Adagio.io,France,Advertising & Marketing,31700.5,582.6,42153471.0,132556.0,18,11,2016,FRA,3336947062.0,67971311,2603175697935.03
3,Bidberry,Italy,Advertising & Marketing,14319.7,424.4,14498769.0,100548.0,6,3,2018,ITA,6072359015.0,58940425,1919988802837.6548
4,Solar Direktinvest,Germany,Energy & Utilities,11335.4,385.4,28290148.0,247390.0,35,2,2016,DEU,3735278366.0,83797985,3824049172030.187
5,Vakanta,Sweden,IT & Software,9564.8,358.9,13086811.0,144436.0,3,3,2013,SWE,608209082.0,10486941,554262386048.8254
6,Pader Solartechnik,Germany,Energy & Utilities,8124.2,334.9,9385589.0,114122.0,42,7,2019,DEU,3735278366.0,83797985,3824049172030.187
7,The Sense Experience Resort,Italy,Hospitality & Travel,7775.7,328.6,8147588.0,103452.0,43,5,2017,ITA,6072359015.0,58940425,1919988802837.6548
8,Modern Milkman,UK,Ecommerce,7432.4,322.3,51320694.0,714058.0,160,7,2018,GBR,5744139508.0,66971395,2893534419072.2114
9,Fairlo,Sweden,Fintech Financial Services & Insurance,7406.7,321.8,11971243.0,170108.0,56,4,2018,SWE,608209082.0,10486941,554262386048.8254
10,Ad Specialist,Germany,Advertising & Marketing,7237.5,318.6,13499389.0,183979.0,4,1,2019,DEU,3735278366.0,83797985,3824049172030.187
11,Taxually,Hungary,Fintech Financial Services & Insurance,7234.9,318.6,10613846.0,175081.0,120,10,2018,HUN,240441941.0,9643048,166111976935.68777
12,WECO,Italy,Electrical Manufacturing,6903.3,312.2,218989389.0,3126942.0,17,3,2015,ITA,6072359015.0,58940425,1919988802837.6548
13,instagrid,Germany,Energy & Utilities,6593.2,306.0,14841997.0,221747.0,100,14,2018,DEU,3735278366.0,83797985,3824049172030.187
14,TapNation,France,Leisure & Entertainment,6491.4,303.9,44324280.0,672460.0,33,4,2019,FRA,3336947062.0,67971311,2603175697935.03
15,Oceania,Italy,Construction & Engineering,6209.5,298.1,18373177.0,291200.0,2,1,2004,ITA,6072359015.0,58940425,1919988802837.6548
16,Join Talent,UK,Professional Scientific & Technical Services,6148.5,296.8,19424721.0,325804.0,226,5,2018,GBR,5744139508.0,66971395,2893534419072.2114
17,Deutscher Bauservice,Germany,Construction & Engineering,5534.7,283.4,7516126.0,133389.0,95,5,2019,DEU,3735278366.0,83797985,3824049172030.187
18,Continest,Hungary,Manufacturing,5510.7,282.8,9118544.0,196638.0,90,7,2019,HUN,240441941.0,9643048,166111976935.68777
19,Skinport,Germany,IT & Software,5510.0,282.8,9503258.0,169398.0,11,1,2018,DEU,3735278366.0,83797985,3824049172030.187
20,Business Innovation Lab,Italy,Fintech Financial Services & Insurance,5111.7,273.5,38710920.0,742774.0,67,13,2012,ITA,6072359015.0,58940425,1919988802837.6548
21,Controlant,Iceland,IT & Software,4790.1,265.7,124359081.0,2431036.0,428,53,2007,ISL,124359081.0,382003,26288045111.72189
22,Energia Locale,Italy,Energy & Utilities,3978.1,244.2,5252804.0,128805.0,6,1,2018,ITA,6072359015.0,58940425,1919988802837.6548
23,Silverstream Technologies,UK,Professional Scientific & Technical Services,3953.1,243.5,41453489.0,1022761.0,93,14,2010,GBR,5744139508.0,66971395,2893534419072.2114
24,Surfer SEO,Poland,IT & Software,3857.2,240.8,12238393.0,341735.0,59,9,2018,POL,1863345656.0,36821749,644566697354.571
25,Plug-in Festivals,Germany,Ecommerce,3662.0,235.1,6442913.0,171264.0,4,2,2018,DEU,3735278366.0,83797985,3824049172030.187
26,Bit Mobility,Italy,IT & Software,3620.9,233.8,7009714.0,188386.0,106,15,2019,ITA,6072359015.0,58940425,1919988802837.6548
27,Fair Collection,Norway,Fintech Financial Services & Insurance,3596.6,233.1,3487645.0,100504.0,14,5,2018,NOR,520823790.0,5457127,555789991006.327
28,Groupe Courtin,France,Real Estate,3489.0,229.9,47488703.0,1323172.0,60,10,2017,FRA,3336947062.0,67971311,2603175697935.03
29,Index.dev,UK,IT & Software,3348.9,225.5,5848713.0,162109.0,45,9,2019,GBR,5744139508.0,66971395,2893534419072.2114
30,Iceye,Finland,Aerospace & Defence,3335.3,225.1,49434000.0,1439000.0,504,164,2014,FIN,522337495.0,5556106,264758103263.71317
31,Main Solution,Italy,Energy & Utilities,3319.4,224.6,43533381.0,1273142.0,44,5,2015,ITA,6072359015.0,58940425,1919988802837.6548
32,Devot,Croatia,IT & Software,3284.7,223.5,8934626.0,263971.0,32,8,2016,HRV,45889717.0,3855600,67067766507.33766
33,Aqualy,Italy,Food & Beverages,3271.2,223.0,3592554.0,106567.0,11,1,2019,ITA,6072359015.0,58940425,1919988802837.6548
34,OnBuy.com,UK,Ecommerce,3262.8,222.8,13266416.0,413460.0,114,23,2014,GBR,5744139508.0,66971395,2893534419072.2114
35,Nativery,Italy,Advertising & Marketing,3252.5,222.4,4175090.0,124538.0,9,1,2018,ITA,6072359015.0,58940425,1919988802837.6548
36,nanosun,Czech Republic,Wholesale,3198.3,220.7,192934151.0,5572621.0,50,10,2013,CZE,491614260.0,10672118,272172848884.7023
37,The Longevity Suite,Italy,Health Care & Life Sciences,3139.4,218.8,9362000.0,289000.0,51,2,2019,ITA,6072359015.0,58940425,1919988802837.6548
38,Movo Partnership,UK,Fintech Financial Services & Insurance,3125.7,218.3,13100175.0,425627.0,30,6,2018,GBR,5744139508.0,66971395,2893534419072.2114
39,Pace,Italy,Automotive,3112.1,217.9,3726000.0,116000.0,2,3,2019,ITA,6072359015.0,58940425,1919988802837.6548
40,Chāmpo,UK,Pharmaceuticals & Cosmetics,3067.6,216.4,9917321.0,328131.0,9,2,2016,GBR,5744139508.0,66971395,2893534419072.2114
41,Woltair,Czech Republic,Energy & Utilities,2991.9,213.9,18048984.0,556129.0,160,25,2018,CZE,491614260.0,10672118,272172848884.7023
42,The Alliance,UK,Media & Telecommunications,2935.8,212.0,14656081.0,505973.0,92,6,2019,GBR,5744139508.0,66971395,2893534419072.2114
43,Valumen,France,Employment Services,2933.4,211.9,9845005.0,324554.0,15,1,2014,FRA,3336947062.0,67971311,2603175697935.03
44,Stoov,Netherlands,Ecommerce,2907.9,211.0,39043000.0,1298000.0,18,2,2014,NLD,367871630.0,17700982,945503780118.286
45,Aircash,Croatia,Fintech Financial Services & Insurance,2855.9,209.2,20014067.0,677092.0,49,21,2015,HRV,45889717.0,3855600,67067766507.33766
46,Herrles Nord,Germany,Automotive,2803.8,207.4,3598348.0,123918.0,7,4,2019,DEU,3735278366.0,83797985,3824049172030.187
47,Surfshark,Lithuania,IT & Software,2769.4,206.1,63841041.0,2224875.0,330,35,2018,LTU,264994121.0,2831639,66481805204.9781
48,Salabam,Italy,Hospitality & Travel,2761.5,205.9,11502374.0,401976.0,18,9,2015,ITA,6072359015.0,58940425,1919988802837.6548
49,Eva Consulting,Italy,Management Consulting,2742.8,205.2,3630200.0,127700.0,19,4,2017,ITA,6072359015.0,58940425,1919988802837.6548
50,noo.ma,Poland,Ecommerce,2728.2,204.7,6940948.0,271187.0,30,2,2017,POL,1863345656.0,36821749,644566697354.571
51,C2R Energy Consulting,Italy,Management Consulting,2694.3,203.5,3136574.0,112251.0,38,1,2015,ITA,6072359015.0,58940425,1919988802837.6548
52,YSO Corp,France,Leisure & Entertainment,2609.5,200.4,35456651.0,1308610.0,36,10,2013,FRA,3336947062.0,67971311,2603175697935.03
53,IoT Venture,Germany,IT & Software,2598.4,199.9,10500000.0,389117.0,55,7,2016,DEU,3735278366.0,83797985,3824049172030.187
54,Modifi,Netherlands,Fintech Financial Services & Insurance,2587.2,199.5,11340000.0,422000.0,82,20,2018,NLD,367871630.0,17700982,945503780118.286
55,Lyma,UK,Ecommerce,2586.5,199.5,26236367.0,1023501.0,26,9,2017,GBR,5744139508.0,66971395,2893534419072.2114
56,Freemarket,UK,Fintech Financial Services & Insurance,2579.1,199.2,20811897.0,814135.0,60,33,2010,GBR,5744139508.0,66971395,2893534419072.2114
57,Regit,Germany,IT & Software,2558.2,198.4,11937401.0,449082.0,15,3,2013,DEU,3735278366.0,83797985,3824049172030.187
58,BeInfluence Europe,Belgium,Advertising & Marketing,2544.2,197.9,2776400.0,105000.0,22,3,2017,BEL,270972276.0,11685814,546504122379.75134
59,Extra Mile Live Service,Germany,Ecommerce,2537.0,197.6,5964881.0,226200.0,5,4,2017,DEU,3735278366.0,83797985,3824049172030.187
60,Conal Service (Formaggi Terre Sarde),Italy,Food & Beverages,2515.5,196.8,6401960.0,244769.0,2,2,2005,ITA,6072359015.0,58940425,1919988802837.6548
61,Mia Burton,Italy,Apparel & Fashion,2501.8,196.3,3888676.0,149461.0,30,4,2019,ITA,6072359015.0,58940425,1919988802837.6548
62,Arbolus,UK,Professional Scientific & Technical Services,2463.3,194.8,8079110.0,330324.0,156,5,2017,GBR,5744139508.0,66971395,2893534419072.2114
63,Italsoft Group,Italy,Construction & Engineering,2422.9,193.3,39944944.0,1583270.0,22,12,2008,ITA,6072359015.0,58940425,1919988802837.6548
64,Gentle North,Germany,Ecommerce,2408.2,192.7,6584102.0,262500.0,14,2,2017,DEU,3735278366.0,83797985,3824049172030.187
65,United Shipping Hungaria,Hungary,Logistics & Transportation,2374.8,191.4,33321423.0,1629121.0,45,3,2008,HUN,240441941.0,9643048,166111976935.68777
66,Rizzi Costruzioni,Italy,Construction & Engineering,2256.9,186.7,11217809.0,475956.0,3,3,1975,ITA,6072359015.0,58940425,1919988802837.6548
67,Loft Film,Germany,Advertising & Marketing,2244.5,186.2,6601307.0,281569.0,30,2,2019,DEU,3735278366.0,83797985,3824049172030.187
68,Mawave,Germany,Advertising & Marketing,2236.5,185.9,4600299.0,196891.0,56,3,2018,DEU,3735278366.0,83797985,3824049172030.187
69,Mission Mittelstand,Germany,Management Consulting,2224.9,185.4,27322599.0,1175230.0,114,6,2014,DEU,3735278366.0,83797985,3824049172030.187
70,Wakame Italia,Italy,Food & Beverages,2223.9,185.4,14975227.0,644402.0,130,21,2019,ITA,6072359015.0,58940425,1919988802837.6548
71,Love2Dogs,Czech Republic,Ecommerce,2181.3,183.6,2512025.0,104901.0,15,2,2017,CZE,491614260.0,10672118,272172848884.7023
72,Baroni,Italy,Ecommerce,2155.9,182.6,5442619.0,241257.0,1,1,2016,ITA,6072359015.0,58940425,1919988802837.6548
73,OnlyFans,UK,Media & Telecommunications,2143.3,182.0,1015474926.0,43271534.0,1337,11,2016,GBR,5744139508.0,66971395,2893534419072.2114
74,VST Fire Solutions,Netherlands,Construction & Engineering,2083.5,179.5,12550990.0,574799.0,34,7,2019,NLD,367871630.0,17700982,945503780118.286
75,Jeton Wallet,UK,Fintech Financial Services & Insurance,2074.2,179.1,28338722.0,1366039.0,25,5,2018,GBR,5744139508.0,66971395,2893534419072.2114
76,McGill and Partners,UK,Fintech Financial Services & Insurance,2047.7,178.0,140703188.0,6262575.0,433,91,2019,GBR,5744139508.0,66971395,2893534419072.2114
77,Just Join IT,Poland,Employment Services,2034.6,177.4,14577159.0,754596.0,220,47,2019,POL,1863345656.0,36821749,644566697354.571
78,X-Win,Italy,Energy & Utilities,2030.0,177.2,36324664.0,1705363.0,10,6,2013,ITA,6072359015.0,58940425,1919988802837.6548
79,Luxor Building,Italy,Construction & Engineering,2025.9,177.0,21154563.0,995095.0,41,6,2009,ITA,6072359015.0,58940425,1919988802837.6548
80,Circula,Germany,Fintech Financial Services & Insurance,1987.3,175.3,3280144.0,157150.0,112,15,2017,DEU,3735278366.0,83797985,3824049172030.187
81,Digital Wines (Etilika),Italy,Ecommerce,1983.5,175.2,4173101.0,200291.0,13,5,2018,ITA,6072359015.0,58940425,1919988802837.6548
82,HPS Home Power Solutions,Germany,Energy & Utilities,1967.4,174.5,8080023.0,390837.0,192,91,2014,DEU,3735278366.0,83797985,3824049172030.187
83,Ferryscanner,Greece,Hospitality & Travel,1921.7,172.4,5195507.0,256984.0,27,12,2018,GRC,45633780.0,10426919,203808426670.44565
84,Save NRG,Italy,Energy & Utilities,1917.9,172.3,16427648.0,814090.0,19,5,2015,ITA,6072359015.0,58940425,1919988802837.6548
85,Voltaïca,France,Energy & Utilities,1906.7,171.7,20085123.0,1000883.0,10,1,2008,FRA,3336947062.0,67971311,2603175697935.03
86,Kulturwerke Deutschland,Germany,Hospitality & Travel,1869.6,170.1,8224625.0,417577.0,32,4,2014,DEU,3735278366.0,83797985,3824049172030.187
87,Seeders,Netherlands,Advertising & Marketing,1858.4,169.5,13275897.0,677882.0,103,29,2019,NLD,367871630.0,17700982,945503780118.286
88,Apzumi,Poland,IT & Software,1793.2,166.5,2363528.0,137948.0,16,4,2013,POL,1863345656.0,36821749,644566697354.571
89,Etnos Cooperativa Sociale,Italy,Health Care & Life Sciences,1792.4,166.5,2750213.0,145331.0,103,111,2005,ITA,6072359015.0,58940425,1919988802837.6548
90,Newark Engineering,Italy,Construction & Engineering,1758.6,164.9,10172503.0,547310.0,3,2,2009,ITA,6072359015.0,58940425,1919988802837.6548
91,Solidatus,UK,IT & Software,1740.7,164.0,10182093.0,579728.0,105,70,2017,GBR,5744139508.0,66971395,2893534419072.2114
92,Solsol,Czech Republic,Wholesale,1732.4,163.6,99223313.0,5158798.0,32,6,2012,CZE,491614260.0,10672118,272172848884.7023
93,Bold Security Group,UK,Professional Scientific & Technical Services,1718.2,163.0,48052249.0,2769763.0,379,117,2011,GBR,5744139508.0,66971395,2893534419072.2114
94,Educ-Up,France,Education & Social Services,1673.6,160.8,3413104.0,192443.0,353,10,2016,FRA,3336947062.0,67971311,2603175697935.03
95,EET – Efficient Energy Technology,Austria,Energy & Utilities,1654.0,159.8,5716919.0,325941.0,14,6,2017,AUT,214480483.0,9041851,441131302787.4191
96,Primal State Group,Germany,Ecommerce,1646.6,159.5,35684000.0,2043000.0,39,12,2017,DEU,3735278366.0,83797985,3824049172030.187
97,Elogy,Italy,Logistics & Transportation,1637.5,159.0,3231388.0,185975.0,15,2,2019,ITA,6072359015.0,58940425,1919988802837.6548
98,Logistics Capital Partners (LCP),Belgium,Real Estate,1627.7,158.5,120749221.0,6988906.0,42,23,2015,BEL,270972276.0,11685814,546504122379.75134
99,Kahoot!,Norway,IT & Software,1624.5,158.4,136000565.0,7538961.0,462,81,2011,NOR,520823790.0,5457127,555789991006.327
100,Ampeco,Bulgaria,IT & Software,1612.8,157.8,2189352.0,127823.0,63,5,2018,BGR,42711231.0,6465097,84627257359.31952
101,Motorway,UK,Ecommerce,1596.5,157.0,46409080.0,2867047.0,386,58,2017,GBR,5744139508.0,66971395,2893534419072.2114
102,HNB Construction Services,UK,Construction & Engineering,1585.1,156.4,6296685.0,391627.0,6,2,2018,GBR,5744139508.0,66971395,2893534419072.2114
103,iplicit,UK,IT & Software,1561.5,155.2,1748944.0,110321.0,37,9,2010,GBR,5744139508.0,66971395,2893534419072.2114
104,PVcase,Lithuania,IT & Software,1539.8,154.1,11332391.0,691088.0,127,23,2018,LTU,264994121.0,2831639,66481805204.9781
105,Ehrenkind,Germany,Ecommerce,1524.7,153.3,14866479.0,915043.0,25,3,2018,DEU,3735278366.0,83797985,3824049172030.187
106,WordUnited,UK,Ecommerce,1505.3,152.3,7939885.0,518373.0,15,3,2013,GBR,5744139508.0,66971395,2893534419072.2114
107,Factory World Wide,Serbia,IT & Software,1490.7,151.5,9455658.0,594436.0,76,9,2015,SRB,9455658.0,6664449,59539837757.45057
108,Freight2Fly,Germany,Logistics & Transportation,1480.4,151.0,14013946.0,886708.0,10,3,2018,DEU,3735278366.0,83797985,3824049172030.187
109,Flease,France,Professional Scientific & Technical Services,1472.3,150.5,2414252.0,153550.0,10,3,2018,FRA,3336947062.0,67971311,2603175697935.03
110,Invvenio Communication,Germany,Professional Scientific & Technical Services,1461.4,149.9,8322940.0,533038.0,186,15,2018,DEU,3735278366.0,83797985,3824049172030.187
111,LV Group,Italy,Energy & Utilities,1450.3,149.3,9534929.0,615036.0,28,8,2015,ITA,6072359015.0,58940425,1919988802837.6548
112,Lukardi,Poland,IT & Software,1449.8,149.3,8781019.0,626090.0,51,2,2015,POL,1863345656.0,36821749,644566697354.571
113,KoRo,Germany,Food & Beverages,1440.3,148.8,86770000.0,5633301.0,270,15,2012,DEU,3735278366.0,83797985,3824049172030.187
114,Cleo,UK,Fintech Financial Services & Insurance,1430.0,148.3,28512040.0,1781418.0,189,56,2016,GBR,5744139508.0,66971395,2893534419072.2114
115,Fredward,UK,Management Consulting,1427.6,148.1,9765917.0,669992.0,54,3,2016,GBR,5744139508.0,66971395,2893534419072.2114
116,Koll,Germany,Construction & Engineering,1427.1,148.1,2165288.0,141792.0,3,2,2011,DEU,3735278366.0,83797985,3824049172030.187
117,Active Energy Solutions,Greece,Energy & Utilities,1412.5,147.3,40438273.0,2673665.0,2,2,2014,GRC,45633780.0,10426919,203808426670.44565
118,Zeelo Ltd,UK,IT & Software,1389.4,146.0,27671138.0,1947058.0,146,43,2016,GBR,5744139508.0,66971395,2893534419072.2114
119,CAMS Servizi Edili,Italy,Construction & Engineering,1363.8,144.6,16294326.0,1113128.0,24,5,2018,ITA,6072359015.0,58940425,1919988802837.6548
120,MRG - MAC Recruit Group,UK,Employment Services,1363.1,144.6,4060235.0,290832.0,5,2,2018,GBR,5744139508.0,66971395,2893534419072.2114
121,Exelab,Italy,IT & Software,1353.2,144.0,3220733.0,221630.0,24,1,2006,ITA,6072359015.0,58940425,1919988802837.6548
122,AMX,Germany,IT & Software,1342.3,143.4,6880000.0,477000.0,16,2,2017,DEU,3735278366.0,83797985,3824049172030.187
123,P.B.L.,Italy,Mechanical & Plant Engineering,1336.6,143.1,14481246.0,1007997.0,40,14,2018,ITA,6072359015.0,58940425,1919988802837.6548
124,TerraPay,UK,Fintech Financial Services & Insurance,1321.9,142.3,48417430.0,3255095.0,428,7,2015,GBR,5744139508.0,66971395,2893534419072.2114
125,Isoterma,Italy,Construction & Engineering,1320.8,142.2,68225728.0,4801999.0,25,13,2014,ITA,6072359015.0,58940425,1919988802837.6548
126,Plum,UK,Fintech Financial Services & Insurance,1316.6,142.0,4465737.0,330389.0,156,35,2016,GBR,5744139508.0,66971395,2893534419072.2114
127,Termo,Italy,IT & Software,1312.8,141.7,36757162.0,2601680.0,160,49,2014,ITA,6072359015.0,58940425,1919988802837.6548
128,Addepto,Poland,IT & Software,1310.7,141.6,3352416.0,262600.0,40,15,2018,POL,1863345656.0,36821749,644566697354.571
129,Clear Junction,UK,Fintech Financial Services & Insurance,1290.7,140.5,18281816.0,1314624.0,94,24,2016,GBR,5744139508.0,66971395,2893534419072.2114
130,Cosaporto,Italy,Ecommerce,1270.7,139.3,1649137.0,120316.0,20,4,2017,ITA,6072359015.0,58940425,1919988802837.6548
131,RC Relax,Italy,Furniture & Interiors,1269.2,139.2,1852362.0,135288.0,6,3,2015,ITA,6072359015.0,58940425,1919988802837.6548
132,Link Group,Poland,IT & Software,1261.0,138.8,23225516.0,1885668.0,49,11,2016,POL,1863345656.0,36821749,644566697354.571
133,Bunker Partner,Estonia,Energy & Utilities,1255.1,138.4,1069496711.0,78924555.0,16,5,2015,EST,1094470216.0,1348840,35689031498.24531
134,inboundbuzz,Germany,Advertising & Marketing,1254.0,138.3,2577346.0,190357.0,12,4,2016,DEU,3735278366.0,83797985,3824049172030.187
135,Imprendiroma,Italy,Construction & Engineering,1252.7,138.3,36046365.0,2664786.0,32,12,2008,ITA,6072359015.0,58940425,1919988802837.6548
136,B.Conseil,France,Management Consulting,1241.9,137.6,3530917.0,263136.0,32,2,2017,FRA,3336947062.0,67971311,2603175697935.03
137,Ondato,Lithuania,Fintech Financial Services & Insurance,1241.6,137.6,4715337.0,351468.0,178,18,2014,LTU,264994121.0,2831639,66481805204.9781
138,Refinery89,Netherlands,Advertising & Marketing,1234.8,137.2,15283000.0,1145000.0,34,4,2018,NLD,367871630.0,17700982,945503780118.286
139,Execus,Italy,Education & Social Services,1221.7,136.4,2380303.0,180092.0,9,1,2019,ITA,6072359015.0,58940425,1919988802837.6548
140,weLOG,Germany,Logistics & Transportation,1219.7,136.3,5367534.0,406710.0,102,9,2019,DEU,3735278366.0,83797985,3824049172030.187
141,hyperexponential,UK,IT & Software,1208.1,135.6,10004350.0,801534.0,56,9,2017,GBR,5744139508.0,66971395,2893534419072.2114
142,GOtel,Germany,Wholesale,1206.4,135.5,175841593.0,13460440.0,17,5,2019,DEU,3735278366.0,83797985,3824049172030.187
143,EGT-Wirth,Germany,Electrical Manufacturing,1204.8,135.4,4026007.0,308545.0,27,6,2018,DEU,3735278366.0,83797985,3824049172030.187
144,The People Branding Company,Germany,Advertising & Marketing,1204.5,135.4,1982262.0,151961.0,15,2,2019,DEU,3735278366.0,83797985,3824049172030.187
145,Crafting Future,Germany,Hospitality & Travel,1203.1,135.3,4570800.0,350758.0,26,3,2017,DEU,3735278366.0,83797985,3824049172030.187
146,Proxify,Sweden,IT & Software,1192.0,134.6,20520598.0,1694214.0,138,10,2018,SWE,608209082.0,10486941,554262386048.8254
147,Cask Trade,UK,Food & Beverages,1185.3,134.2,23530086.0,1918640.0,22,4,2018,GBR,5744139508.0,66971395,2893534419072.2114
148,Conceptboard,Germany,IT & Software,1185.1,134.2,5590000.0,435000.0,50,13,2019,DEU,3735278366.0,83797985,3824049172030.187
149,Logical Biological,UK,Professional Scientific & Technical Services,1179.3,133.9,4676277.0,383106.0,7,4,2019,GBR,5744139508.0,66971395,2893534419072.2114
150,Wingstop UK,UK,Hospitality & Travel,1177.8,133.8,43067774.0,3532276.0,1200,500,2017,GBR,5744139508.0,66971395,2893534419072.2114
151,Skladon,Czech Republic,Logistics & Transportation,1156.8,132.5,5802805.0,439861.0,103,45,2015,CZE,491614260.0,10672118,272172848884.7023
152,Gain.pro,Netherlands,Fintech Financial Services & Insurance,1141.7,131.6,2944106.0,237108.0,137,35,2018,NLD,367871630.0,17700982,945503780118.286
153,MGW,Germany,Professional Scientific & Technical Services,1137.5,131.3,1878103.0,151763.0,30,5,1999,DEU,3735278366.0,83797985,3824049172030.187
154,DAC.digital,Poland,IT & Software,1120.9,130.3,5766041.0,521883.0,69,20,2016,POL,1863345656.0,36821749,644566697354.571
155,Baumdick,Germany,Management Consulting,1120.6,130.2,4103726.0,336196.0,20,3,2018,DEU,3735278366.0,83797985,3824049172030.187
156,ISO Public Services,Germany,IT & Software,1118.8,130.1,79933000.0,6558088.0,130,1,2014,DEU,3735278366.0,83797985,3824049172030.187
157,Ecologia Sannita,Italy,Waste management & recycling,1096.7,128.7,2129077.0,177906.0,14,4,2018,ITA,6072359015.0,58940425,1919988802837.6548
158,Mon courtier énergie,France,Energy & Utilities,1093.1,128.5,19150000.0,1605000.0,32,7,2017,FRA,3336947062.0,67971311,2603175697935.03
159,Servisa Baustoffe,Germany,Waste management & recycling,1086.0,128.1,7759770.0,654256.0,28,23,2018,DEU,3735278366.0,83797985,3824049172030.187
160,Techwolf,Belgium,IT & Software,1079.6,127.6,1525769.0,129349.0,44,10,2018,BEL,270972276.0,11685814,546504122379.75134
161,klarsolar,Germany,Energy & Utilities,1076.2,127.4,48967000.0,4163000.0,151,20,2018,DEU,3735278366.0,83797985,3824049172030.187
162,Kolsquare,France,IT & Software,1067.0,126.8,3986089.0,341558.0,30,25,2010,FRA,3336947062.0,67971311,2603175697935.03
163,500 Logistics,UK,Logistics & Transportation,1066.7,126.8,3064617.0,275283.0,6,1,2016,GBR,5744139508.0,66971395,2893534419072.2114
164,LiveKid,Poland,IT & Software,1066.5,126.8,1931582.0,182974.0,73,19,2017,POL,1863345656.0,36821749,644566697354.571
165,BeSocial,Germany,Advertising & Marketing,1063.8,126.6,5586239.0,480000.0,65,8,2018,DEU,3735278366.0,83797985,3824049172030.187
166,Scrumconnect Consulting,UK,IT & Software,1059.3,126.3,28832639.0,2606605.0,30,10,2011,GBR,5744139508.0,66971395,2893534419072.2114
167,Moneybox,UK,Fintech Financial Services & Insurance,1046.7,125.5,32400043.0,2961163.0,318,116,2015,GBR,5744139508.0,66971395,2893534419072.2114
168,Greenland,Italy,Construction & Engineering,1041.0,125.1,1532259.0,134291.0,9,1,2017,ITA,6072359015.0,58940425,1919988802837.6548
169,Dipperfox,Estonia,Manufacturing,1032.7,124.6,2361818.0,208520.0,7,4,2005,EST,1094470216.0,1348840,35689031498.24531
170,Hitisy,Germany,Wholesale,1031.6,124.5,77140494.0,6816740.0,9,5,2017,DEU,3735278366.0,83797985,3824049172030.187
171,Energynat,Poland,Wholesale,1029.4,124.4,44516779.0,4355374.0,21,10,2010,POL,1863345656.0,36821749,644566697354.571
172,PETec,Germany,Mechanical & Plant Engineering,1026.2,124.2,2625414.0,233122.0,9,2,2019,DEU,3735278366.0,83797985,3824049172030.187
173,Acteam Enr,France,Energy & Utilities,1025.7,124.1,13275383.0,1179322.0,28,5,2012,FRA,3336947062.0,67971311,2603175697935.03
174,Cegelem,France,Employment Services,1022.6,123.9,84863097.0,7559798.0,800,150,2018,FRA,3336947062.0,67971311,2603175697935.03
175,interaid,Germany,IT & Software,1018.4,123.6,32577492.0,2912952.0,15,12,2005,DEU,3735278366.0,83797985,3824049172030.187
176,Lepaya,Netherlands,Education & Social Services,1017.6,123.6,11527979.0,1031520.0,187,59,2018,NLD,367871630.0,17700982,945503780118.286
177,FinDynamic,Italy,Fintech Financial Services & Insurance,1005.6,122.8,2455633.0,222104.0,26,7,2016,ITA,6072359015.0,58940425,1919988802837.6548
178,Edilenergia,Italy,Construction & Engineering,1005.5,122.8,8006845.0,724286.0,36,15,2018,ITA,6072359015.0,58940425,1919988802837.6548
179,exomind,France,IT & Software,1000.8,122.4,12485789.0,1134292.0,70,41,2019,FRA,3336947062.0,67971311,2603175697935.03
180,Hair Gallery Europe,Italy,Ecommerce,1000.2,122.4,23396496.0,2126568.0,27,15,2019,ITA,6072359015.0,58940425,1919988802837.6548
181,Sollis Solargroßhandel,Germany,Wholesale,988.1,121.6,51948693.0,4774399.0,12,3,2017,DEU,3735278366.0,83797985,3824049172030.187
182,Requtech,Sweden,Media & Telecommunications,978.3,120.9,2627559.0,259930.0,8,2,2009,SWE,608209082.0,10486941,554262386048.8254
183,barely digital,Germany,IT & Software,977.1,120.8,22324679.0,2072740.0,15,2,2018,DEU,3735278366.0,83797985,3824049172030.187
184,Moasure,UK,Manufacturing,970.9,120.4,9991579.0,977817.0,15,4,2014,GBR,5744139508.0,66971395,2893534419072.2114
185,AscentCore Technology,Romania,IT & Software,965.3,120.0,6729468.0,655757.0,127,11,2017,ROU,44316403.0,19047009,281657592101.90967
186,Creation Live,UK,Advertising & Marketing,959.6,119.6,9566373.0,946239.0,21,2,2017,GBR,5744139508.0,66971395,2893534419072.2114
187,Tecnica Group,Italy,Energy & Utilities,957.8,119.5,3083443.0,291504.0,15,7,2018,ITA,6072359015.0,58940425,1919988802837.6548
188,Sagitta SGR,Italy,Fintech Financial Services & Insurance,957.0,119.5,4723666.0,446878.0,16,7,2001,ITA,6072359015.0,58940425,1919988802837.6548
189,Malereibetrieb Richter,Germany,Construction & Engineering,950.6,119.0,3456395.0,329003.0,25,7,2018,DEU,3735278366.0,83797985,3824049172030.187
190,vtrace,Germany,Ecommerce,950.0,119.0,53757964.0,5119698.0,19,12,2016,DEU,3735278366.0,83797985,3824049172030.187
191,Osmosun,France,Waste management & recycling,949.5,118.9,4602158.0,438516.0,23,16,2014,FRA,3336947062.0,67971311,2603175697935.03
